,,,,,
100,Mediana,Ninguno,Cuartiles,AsociadorL,0
100,Moda,Ninguno,Cuartiles,AsociadorL,0
100,Promedio,Ninguno,Cuartiles,AsociadorL,100
100,Maximo,Ninguno,Cuartiles,AsociadorL,0
100,Minimo,Ninguno,Cuartiles,AsociadorL,0
***********,,,,,
30,Mediana,Ninguno,EstadisticoZ,AsociadorL,0
30,Moda,Ninguno,EstadisticoZ,AsociadorL,0
30,Promedio,Ninguno,EstadisticoZ,AsociadorL,0
30,Maximo,Ninguno,EstadisticoZ,AsociadorL,0
30,Minimo,Ninguno,EstadisticoZ,AsociadorL,0
,,,,,
50,Mediana,Ninguno,EstadisticoZ,AsociadorL,100
50,Moda,Ninguno,EstadisticoZ,AsociadorL,0
50,Promedio,Ninguno,EstadisticoZ,AsociadorL,0
50,Maximo,Ninguno,EstadisticoZ,AsociadorL,0
50,Minimo,Ninguno,EstadisticoZ,AsociadorL,0
,,,,,
100,Mediana,Ninguno,EstadisticoZ,AsociadorL,100
100,Moda,Ninguno,EstadisticoZ,AsociadorL,0
100,Promedio,Ninguno,EstadisticoZ,AsociadorL,100
100,Maximo,Ninguno,EstadisticoZ,AsociadorL,0
100,Minimo,Ninguno,EstadisticoZ,AsociadorL,0

,0.0
,100.0
